step,total loss,train loss,test loss,cc,train acc,test acc,reg
99,0.34110245,0.27817595,0.2668728,62.926495,0.86875,0.89,62.926495
199,0.31154746,0.2597045,0.2447969,51.842945,0.88125,0.89,51.842945
299,0.29098144,0.25373334,0.23822731,37.248116,0.884375,0.895,37.248116
399,0.22469744,0.18777658,0.17624083,36.920856,0.91875,0.925,36.920856
499,0.079641595,0.03325564,0.032285303,46.385956,0.99375,0.99,46.385956
599,0.06280663,0.015747072,0.016115822,47.059555,1.0,1.0,47.059555
699,0.05287996,0.009270983,0.009739506,43.608974,1.0,1.0,43.608974
799,0.04853405,0.0071316822,0.0076669576,41.402367,1.0,1.0,41.402367
899,0.044878006,0.00599528,0.006552704,38.882725,1.0,1.0,38.882725
999,0.0425945,0.0053332937,0.005922884,37.261204,1.0,1.0,37.261204
1099,0.04066802,0.004862504,0.005497052,35.80551,1.0,1.0,35.80551
1199,0.03911935,0.004464275,0.0051122345,34.655075,1.0,1.0,34.655075
1299,0.037864633,0.00415347,0.0048092683,33.71116,1.0,1.0,33.71116
1399,0.036816057,0.0039124233,0.0045973943,32.903633,1.0,1.0,32.903633
1499,0.035760622,0.00373566,0.004437872,32.02496,1.0,1.0,32.02496
1599,0.034847785,0.0035722933,0.0043050824,31.275492,1.0,1.0,31.275492
1699,0.0338838,0.0033946794,0.00415433,30.489117,1.0,1.0,30.489117
1799,0.03298375,0.0032454587,0.004041752,29.73829,1.0,1.0,29.73829
1899,0.031819917,0.0031007156,0.003991133,28.719202,1.0,1.0,28.719202
1999,0.030592384,0.002927503,0.003855729,27.66488,1.0,1.0,27.66488
2099,0.029728912,0.002760192,0.0037046955,26.968718,1.0,1.0,26.968718
2199,0.0289199,0.002645498,0.0036018393,26.2744,1.0,1.0,26.2744
2299,0.02810489,0.002551619,0.0035262115,25.55327,1.0,1.0,25.55327
2399,0.027126415,0.0024680211,0.0034627917,24.658392,1.0,1.0,24.658392
2499,0.026377298,0.0023892678,0.0034057433,23.98803,1.0,1.0,23.98803
2599,0.0256406,0.0023375438,0.0033777044,23.303055,1.0,1.0,23.303055
2699,0.025049493,0.002296427,0.0033662794,22.753065,1.0,1.0,22.753065
2799,0.024485337,0.0022287313,0.0033201042,22.256605,1.0,1.0,22.256605
2899,0.023855772,0.0021568693,0.0032514501,21.698902,1.0,1.0,21.698902
2999,0.023284053,0.002098503,0.0032361476,21.18555,1.0,1.0,21.18555
3099,0.022689601,0.0020492957,0.00323727,20.640305,1.0,1.0,20.640305
3199,0.02192222,0.001976158,0.0031954478,20.135902,1.0,1.0,19.94606
3299,0.021281483,0.0019072529,0.0032505798,19.374228,1.0,1.0,19.374228
3399,0.02073033,0.0018463375,0.0033458981,18.883991,1.0,1.0,18.883991
3499,0.020092716,0.0018059018,0.0034870093,18.286814,1.0,1.0,18.286814
3599,0.019516403,0.0017701108,0.0034860678,17.746292,1.0,1.0,17.746292
3699,0.018929517,0.0016843646,0.0033463547,17.245152,1.0,1.0,17.245152
3799,0.018676123,0.0015856072,0.0032543605,17.090515,1.0,1.0,17.090515
3899,0.018458419,0.0015468161,0.0031988407,16.9116,1.0,1.0,16.9116
3999,0.018242905,0.0015308561,0.00319405,16.712048,1.0,1.0,16.712048
4099,0.018075993,0.0015213345,0.0031881148,16.554659,1.0,1.0,16.554659
4199,0.017908577,0.0015156924,0.0031927503,16.392883,1.0,1.0,16.392883
4299,0.017748391,0.0015145381,0.0031988772,16.233852,1.0,1.0,16.233852
4399,0.017590797,0.0015141534,0.003196433,16.076643,1.0,1.0,16.076643
4499,0.017439412,0.0015158664,0.0032041783,15.923544,1.0,1.0,15.923544
