step,total loss,train loss,test loss,train acc,test acc,reg
99,0.34135288,0.2866931,0.27244756,0.8625,0.875,54.65978
199,0.3073719,0.26154166,0.24478953,0.88125,0.895,45.830254
299,0.29605663,0.25975555,0.24329601,0.878125,0.905,36.301083
399,0.2885352,0.25753,0.24128518,0.884375,0.9,31.005203
499,0.27811605,0.2510011,0.23330623,0.890625,0.91,27.114948
599,0.2520594,0.22457302,0.20504864,0.896875,0.915,27.486387
699,0.13256049,0.096371695,0.08894767,0.971875,0.975,36.18879
799,0.07262992,0.030157486,0.026978994,0.990625,1.0,42.472435
899,0.05757071,0.014749235,0.012547599,1.0,1.0,42.821472
999,0.05295112,0.010264953,0.008732807,1.0,1.0,42.686165
1099,0.049874306,0.008124253,0.007035227,1.0,1.0,41.750053
1199,0.04755012,0.0069128973,0.0061578043,1.0,1.0,40.63722
1299,0.045319784,0.006179129,0.005705667,1.0,1.0,39.140656
1399,0.043184515,0.005634586,0.0053772866,1.0,1.0,37.549927
1499,0.04116243,0.0052136173,0.0050941585,1.0,1.0,35.94881
1599,0.039533716,0.0048384247,0.0047339452,1.0,1.0,34.69529
1699,0.038017955,0.0045682187,0.004499984,1.0,1.0,33.449734
1799,0.036589276,0.004338533,0.0042922753,1.0,1.0,32.25074
1899,0.035335857,0.0041740974,0.0041570053,1.0,1.0,31.161758
1999,0.034219477,0.004041634,0.0040222392,1.0,1.0,30.177843
2099,0.03312811,0.0038764714,0.003816608,1.0,1.0,29.251637
2199,0.032077525,0.0037536505,0.003625943,1.0,1.0,28.323872
2299,0.031189576,0.0036207282,0.003486619,1.0,1.0,27.568846
2399,0.030304039,0.0034682616,0.0032972116,1.0,1.0,26.835775
2499,0.029415367,0.003353371,0.003186801,1.0,1.0,26.061996
2599,0.028437644,0.0032525477,0.0030906629,1.0,1.0,25.185097
2699,0.027528955,0.0031369117,0.0029706722,1.0,1.0,24.39204
2799,0.026806043,0.0030157925,0.00285297,1.0,1.0,23.79025
2899,0.026117748,0.0029261762,0.0027962644,1.0,1.0,23.19157
2999,0.025507994,0.0028502312,0.0027495227,1.0,1.0,22.657763
3099,0.024951555,0.002773966,0.0027327684,1.0,1.0,22.177588
3199,0.02440856,0.0027172014,0.0027026818,1.0,1.0,21.691359
3299,0.023815123,0.0026653265,0.0027003523,1.0,1.0,21.149796
3399,0.023247182,0.0025935934,0.002706216,1.0,1.0,20.653587
3499,0.02268051,0.0025204178,0.0026935572,1.0,1.0,20.160091
3599,0.022052674,0.0024402968,0.0026679784,1.0,1.0,19.612377
3699,0.021452188,0.0023418916,0.002675026,1.0,1.0,19.110296
3799,0.0208903,0.0022423232,0.002721277,1.0,1.0,18.647976
3899,0.020047005,0.0021633643,0.002722902,1.0,1.0,17.88364
3999,0.019370498,0.0020980835,0.0027710793,1.0,1.0,17.272413
4099,0.018832326,0.0020410689,0.002822762,1.0,1.0,16.791258
4199,0.018437613,0.0019475281,0.002849731,1.0,1.0,16.490084
4299,0.018172506,0.0018894762,0.0028886732,1.0,1.0,16.28303
4399,0.017925119,0.001829306,0.0029643516,1.0,1.0,16.095812
4499,0.01768936,0.0017878355,0.0030450197,1.0,1.0,15.901524
4599,0.017468318,0.0017574772,0.0031134025,1.0,1.0,15.71084
4699,0.017202113,0.0017165521,0.003167405,1.0,1.0,15.485559
4799,0.016967954,0.0016956577,0.0032386302,1.0,1.0,15.272296
4899,0.016746463,0.0016758476,0.0033365854,1.0,1.0,15.070615
4999,0.016592277,0.001607677,0.0034080422,1.0,1.0,14.984599
5099,0.12679458,0.0110842455,0.010893609,1.0,1.0,11.571033
5199,0.1226533,0.01539091,0.014787458,1.0,1.0,10.726239
5299,0.11885369,0.015618163,0.014953808,1.0,1.0,10.323553
5399,0.116619006,0.015402861,0.014756867,1.0,1.0,10.121614
5499,0.11440982,0.015256284,0.014541531,1.0,1.0,9.915354
5599,0.1115423,0.015036898,0.01436322,1.0,1.0,9.65054
5699,0.10920135,0.014662462,0.013986203,1.0,1.0,9.453889
5799,0.108172126,0.014489561,0.01383577,1.0,1.0,9.368257
5899,0.10089071,0.013216895,0.012783352,1.0,1.0,8.767382
5999,0.09979901,0.012737589,0.012372544,1.0,1.0,8.706142
6099,0.09697307,0.012554185,0.012245353,1.0,1.0,8.441889
6199,0.09685196,0.012461539,0.012147641,1.0,1.0,8.439042
6299,0.09690481,0.012439554,0.012148819,1.0,1.0,8.446526
6399,0.09678712,0.012401081,0.012114809,1.0,1.0,8.438603
