step,total loss,train loss,test loss,train acc,test acc,reg
99,0.32408896,0.26029307,0.28145504,0.88125,0.85,63.795883
199,0.29546067,0.24141724,0.25689265,0.884375,0.885,54.04342
299,0.2738802,0.23338231,0.24649881,0.8875,0.9,40.497902
399,0.21913798,0.17718449,0.18336461,0.921875,0.915,41.95349
499,0.09495833,0.04236682,0.04051989,0.990625,0.995,52.591503
599,0.072472095,0.019248702,0.016337762,1.0,1.0,53.22339
699,0.06156524,0.01179405,0.008832973,1.0,1.0,49.771187
799,0.05568339,0.0087763425,0.006131065,1.0,1.0,46.907043
899,0.051109694,0.0071884193,0.0049459464,1.0,1.0,43.921272
999,0.047661234,0.0061135674,0.0041826847,1.0,1.0,41.547665
1099,0.044678453,0.0053751008,0.0037767608,1.0,1.0,39.30335
1199,0.042049132,0.004810389,0.0035406298,1.0,1.0,37.238743
1299,0.039219532,0.004285342,0.0033434154,1.0,1.0,34.93419
1399,0.037703265,0.0038814184,0.0032247773,1.0,1.0,33.821846
1499,0.036293942,0.003590022,0.0031505097,1.0,1.0,32.70392
1599,0.034949344,0.0033599262,0.003119016,1.0,1.0,31.589417
1699,0.033774164,0.0031905666,0.003077555,1.0,1.0,30.583595
1799,0.03278549,0.0030458323,0.0030427473,1.0,1.0,29.739656
1899,0.031851277,0.0029459496,0.0030231916,1.0,1.0,28.905327
1999,0.030978955,0.0028253724,0.002961195,1.0,1.0,28.153582
2099,0.030129073,0.0027244242,0.0028988305,1.0,1.0,27.404648
2199,0.029378457,0.0026395496,0.0028303615,1.0,1.0,26.738907
2299,0.02868031,0.0025699488,0.0027544787,1.0,1.0,26.11036
2399,0.027994204,0.0024986337,0.0026426667,1.0,1.0,25.49557
2499,0.027350515,0.0024388044,0.0025369741,1.0,1.0,24.91171
2599,0.026773205,0.0023706725,0.0024495467,1.0,1.0,24.40253
2699,0.026261324,0.002304665,0.0023164165,1.0,1.0,23.956657
2799,0.025730979,0.0022507247,0.0022089134,1.0,1.0,23.480251
2899,0.025202025,0.0021851608,0.0020751029,1.0,1.0,23.016863
2999,0.024678525,0.0021310742,0.001992841,1.0,1.0,22.54745
3099,0.0241663,0.002089601,0.0019478895,1.0,1.0,22.076698
3199,0.023700586,0.0020348746,0.0019100647,1.0,1.0,21.66571
3299,0.023119781,0.0019911407,0.0018852234,1.0,1.0,21.128641
3399,0.022667656,0.0019433324,0.001862023,1.0,1.0,20.724321
3499,0.022340514,0.0019080574,0.0018288711,1.0,1.0,20.432455
3599,0.02211239,0.0018816374,0.0018168965,1.0,1.0,20.230753
3699,0.021860885,0.0018611621,0.0018072395,1.0,1.0,19.999722
3799,0.021578839,0.0018424945,0.0017963446,1.0,1.0,19.736343
